,HODBIN2,DATE,station_id,WEEKDAY,LAT,LON,ENTRIES_diff_sum,EXITS_diff_sum
163,4,10/12/2019,TIMES SQ-42 ST-1237ACENQRS,Saturday,40.755905,-73.98650400000001,2035.0,242.0
164,4,10/12/2019,TIMES SQ-42 ST-1237ACENQRSW,Saturday,40.755905,-73.98650400000001,3533.0,1648.0
165,4,10/13/2019,42 ST-BRYANT PK-7BDFM,Sunday,40.754197999999995,-73.984573,1590.0,579.0
166,4,10/13/2019,42 ST-PORT AUTH-1237ACEGNRSW,Sunday,40.757303,-73.98978699999999,380.0,229.0
167,4,10/13/2019,42 ST-PORT AUTH-1237ACENQRSW,Sunday,40.757303,-73.98978699999999,1631.0,1689.0
168,4,10/13/2019,47-50 STS ROCK-BDFM,Sunday,40.758652000000005,-73.981311,1685.0,399.0
169,4,10/13/2019,49 ST-NQRW,Sunday,40.760139,-73.984112,556.0,105.0
170,4,10/13/2019,5 AV/53 ST-EM,Sunday,40.760179,-73.975196,68.0,77.0
171,4,10/13/2019,5 AV/59 ST-NQRW,Sunday,40.764909,-73.973372,50.0,65.0
172,4,10/13/2019,5 AVE-7BDFM,Sunday,40.753824,-73.981966,254.0,128.0
173,4,10/13/2019,50 ST-1,Sunday,40.761675,-73.983908,829.0,282.0
174,4,10/13/2019,50 ST-CE,Sunday,40.762439,-73.985989,1399.0,704.0
175,4,10/13/2019,50 ST-D,Sunday,40.636232,-73.994765,23.0,38.0
176,4,10/13/2019,51 ST-6,Sunday,40.757108,-73.97187,417.0,248.0
177,4,10/13/2019,57 ST-7 AV-NQRW,Sunday,40.764755,-73.980646,989.0,395.0
178,4,10/13/2019,57 ST-F,Sunday,40.763625,-73.977449,318.0,148.0
179,4,10/13/2019,59 ST COLUMBUS-1ABCD,Sunday,40.76811,-73.981891,2118.0,918.0
180,4,10/13/2019,59 ST-456NQRW,Sunday,40.762796,-73.967686,995.0,443.0
181,4,10/13/2019,59 ST-NRW,Sunday,40.641426,-74.017972,128.0,405.0
182,4,10/13/2019,7 AV-BDE,Sunday,40.762877,-73.98159,424.0,290.0
183,4,10/13/2019,7 AV-BQ,Sunday,40.677172,-73.972514,93.0,153.0
184,4,10/13/2019,7 AV-FG,Sunday,40.666276,-73.980324,69.0,157.0
185,4,10/13/2019,GRD CNTRL-42 ST-4567S,Sunday,40.751849,-73.976945,1654.0,1367.0
186,4,10/13/2019,LEXINGTON AV/53-6EM,Sunday,40.757529999999996,-73.969102,445.0,517.0
187,4,10/13/2019,TIMES SQ-42 ST-1237ACENQRS,Sunday,40.755905,-73.98650400000001,2031.0,225.0
188,4,10/13/2019,TIMES SQ-42 ST-1237ACENQRSW,Sunday,40.755905,-73.98650400000001,3987.0,1864.0
189,4,10/14/2019,42 ST-BRYANT PK-7BDFM,Monday,40.754197999999995,-73.984573,822.0,327.0
